num,x,y,temp,RGB
0,5.43822097778,8.8838300705,17.5,#7F847E
1,5.52937507629,9.90448760986,17.5,#7F847E
2,6.15139532089,10.6133737564,17.5,#7F847E
3,7.12389802933,10.7623376846,17.5,#7F847E
4,7.87053251266,11.2331819534,17.5,#7F847E
5,8.43273735046,10.5232772827,17.5,#7F847E
6,9.43333625793,10.6252622604,17.5,#7F847E
7,10.4353609085,10.6153621674,17.5,#7F837D
8,11.3922748566,10.2568616867,17.5,#7F847E
9,11.9336023331,11.0067548752,17.5,#80847E
10,12.9616479874,11.3032817841,17.5,#80847E
11,13.7627124786,10.5742645264,17.5,#80847E
12,14.6304483414,10.1703577042,17.5,#80847E
13,14.2572517395,9.22058486938,17.5,#80847E
14,13.4669752121,8.71423244476,17.5,#80847E
15,12.5375032425,9.0773267746,17.5,#80847E
16,11.5542869568,9.12051105499,17.5,#80847E
17,10.7547416687,8.65118789673,17.5,#80847E
18,9.82235336304,8.90518569946,17.5,#80847E
19,8.80422592163,8.96099758148,17.5,#80847E
20,7.71226215363,8.89532756805,17.5,#80847D
21,6.70557260513,8.86900138855,17.5,#80847D
22,6.2546339035,9.5820016861,17.5,#80847D
23,7.1848025322,9.70599555969,17.5,#80847D
24,8.21652793884,9.59733200073,17.5,#80847D
25,9.04386806488,9.80825233459,17.5,#80847D
26,9.94881629944,9.79578971863,17.5,#80847D
27,10.7578105927,9.55637836456,17.5,#80847E
28,12.1533117294,9.88751411438,17.5,#80847E
29,12.7382287979,10.4145145416,17.5,#7F847D
30,13.2354288101,9.59684562683,17.5,#80847E
