num,x,y,temp,RGB
0,9.32500076294,10.1986560822,17.2999992371,#808581
1,9.44453525543,11.381726265,17.2999992371,#808581
2,9.55888938904,12.5675992966,17.2999992371,#808581
3,9.58664798737,13.8933992386,17.2999992371,#808581
4,9.95613765717,14.8989648819,17.2999992371,#808581
5,11.0242986679,14.9965400696,17.2000007629,#808581
6,12.069442749,15.0311784744,17.2999992371,#808581
7,13.1060886383,15.0776205063,17.2999992371,#808581
8,13.945892334,14.9370012283,17.2999992371,#808581
9,14.6708984375,14.5163002014,17.2999992371,#808581
10,15.522274971,14.9678983688,17.2999992371,#808581
11,16.5417098999,14.9745368958,17.2999992371,#808581
12,17.5548381805,14.9531946182,17.2999992371,#808581
13,18.5789852142,14.970500946,17.2999992371,#808581
14,19.3877487183,14.9435634613,17.2999992371,#808581
15,19.2812252045,14.0301456451,17.2999992371,#808581
16,19.390958786,13.1344242096,17.2999992371,#808581
17,19.3338871002,12.2583007812,17.2999992371,#808581
18,19.3397426605,11.3060741425,17.2999992371,#808581
19,19.6520671844,10.569237709,17.2999992371,#808581
20,19.0070838928,9.93185424805,17.2999992371,#808581
21,18.0139255524,9.9233083725,17.2999992371,#808581
22,17.0614547729,9.86346054077,17.2999992371,#808581
23,16.1700019836,9.85819911957,17.2999992371,#808581
24,15.2354507446,9.91806125641,17.2999992371,#808581
25,14.2957649231,9.82368373871,17.2999992371,#808581
26,13.357749939,9.79174613953,17.2999992371,#808581
27,12.3875455856,9.83266544342,17.2999992371,#808581
28,11.3251419067,9.74005699158,17.2999992371,#808581
29,10.4398841858,9.6903219223,17.2999992371,#808581
30,10.1481666565,10.6103715897,17.2999992371,#808581
31,10.3395109177,11.61677742,17.2999992371,#808581
32,10.4314908981,12.588760376,17.2999992371,#808581
33,10.3934183121,13.5167789459,17.2999992371,#808580
34,11.1996421814,14.1940355301,17.2999992371,#808580
35,12.213467598,14.0592393875,17.2000007629,#808580
36,13.1051473618,14.0542402267,17.2999992371,#808580
37,14.0327777863,13.871673584,17.2999992371,#808580
38,15.0505504608,13.6814279556,17.2999992371,#808580
39,15.9896469116,13.740978241,17.2999992371,#808580
40,16.9819488525,14.0928230286,17.2999992371,#808580
41,17.9304122925,14.1220569611,17.2999992371,#808580
42,18.5356178284,13.4338750839,17.2999992371,#808580
43,18.4676361084,12.5624418259,17.2999992371,#808580
44,18.4926815033,11.5990896225,17.2999992371,#808580
45,18.5850257874,10.7189626694,17.2999992371,#808580
46,17.7195110321,10.7942028046,17.2999992371,#808580
47,17.6017208099,11.8175678253,17.2999992371,#808580
48,17.5866298676,12.8143100739,17.2999992371,#808580
49,10.9785175323,10.6134748459,17.2999992371,#808580
50,11.8407411575,10.4154005051,17.2999992371,#808580
51,12.8606748581,10.4459514618,17.2999992371,#808580
52,13.755320549,10.4923419952,17.2000007629,#808580
53,14.6863517761,10.5131368637,17.2999992371,#808580
54,15.6863279343,10.5408992767,17.2999992371,#808580
55,16.568775177,10.4675741196,17.2000007629,#808580
56,17.058506012,11.0531749725,17.2999992371,#808580
